Internal Event Name,Event ID,Team Division,Company,Number of Participants,Total Fees Paid,Team Total Confirmed ($),Total Online Gifts($),Total Offline Confirmed Gifts($),Total Offline Unconfirmed Gifts($),Team Goal($),Total Confirmed Gifts in Team History($),Previous Event Fiscal Year,Previous Event Confirmed Gifts($),Previous Event Team Members,Fiscal Year
TXH 2017 Bike MS: BP MS 150,28263,Corporate,SABIC,30,0,19617,13117,6500,0,12000,47486,2016,10560,14,2017
MAM 2017 Bike MS: Ride the Vineyard,28222,Corporate,,22,270,19613,17875,1738,0,40000,80503.2,2016,26555.2,24,2017
NCT 2017 Bike MS: Historic New Bern Ride,28911,Corporate,d-Wise,18,705,19600,18885,715,100,20000,51019,2016,16207,7,2017
"Texas, Dallas - Bike MS 2014",22466,Corporate,Sam's Club,33,621,19599,6405,13194,0,15000,19599,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,JACOBS Engineering Group,28,2830,19553.91,18312,1241.91,0,25000,19553.91,2015,43712.01,52,2016
FLC Bike MS 2015,24778,Corporate,ExpressScripts/ Accredo,18,0,19551,4231,15320,0,18000,50817.13,,0,0,2015
OHA 2015 Bike MS: Buckeye Breakaway,25890,Corporate,Progressive Insurance,38,550,19543.9,11676,7867.9,250,0,33446.71,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Alvarez & Marsal,21,2180,19521,18986,535,110,25000,59791.01,2016,22625.15,19,2017
PAX 2016 Bike MS: Escape to Lake presented by FedEx Ground,27690,Corporate,PJ Dick / Trumbull / Lindy Paving,17,405,19495,8275,11220,0,20000,64932,2015,25602,19,2016
FLC Bike MS 2015,24778,Corporate,G4S Secure Solutions (USA) Inc.,18,1170,19465,8545,10920,25,5000,50916.91,,0,0,2015
Colorado - Bike MS 2014,22980,Corporate,New West Physicians,22,1437,19445,10285,9160,41,18000,19445,,0,0,2014
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,Wells Fargo,30,963,19413,16527,2886,16325,50000,76870.21,2016,20520,27,2017
"Texas, Midland - bike MS: Cactus & Crude 2013, presented by Apache",21276,Corporate,Chevron,17,537,19376.41,11031.41,8345,65,10000,19376.41,2012,14785,13,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,SM Energy,17,1700,19364.62,10955.87,8408.75,50,20000,19364.62,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Team Gyrodata,23,2350,19355,12405,6950,450,30000,19355,,0,0,2015
NYN 2016 Bike MS: NYC,27764,Corporate,RadicalMedia,46,225,19353,17693,1660,0,30000,57601.21,2016,16806,32,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Orion Marine Group,23,760,19349.45,16894.45,2455,0,19000,41235.1,2015,12160.65,11,2016
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,,21,652,19345,14005,5340,0,16000,19555,,0,0,2017
WAS 2014 Bike MS - Washington,23318,Corporate,,31,712.5,19342,12389,6953,0,15000,19342,,0,0,2014
COC 2017 Bike MS Colorado,28914,Corporate,National Renewable Energy Laboratory,25,187,19330,18631,699,2672,50000,57303.41,2016,27028.41,35,2017
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,Gap Inc.,11,585,19305.01,15937.01,3368,0,25000,73443.71,2016,32248.1,20,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Energy XXI,18,500,19280,18105,1175,0,75000,19280,,0,0,2015
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Pfizer,33,50,19268,12418,6850,910,0,80037.7,,0,0,2015
"Alabama, Orange Beach- Bike MS: Tour de Beach 2014",23557,Corporate,Alabama Power/Southern Company,13,85,19262.39,1840,17422.39,0,20000,19262.39,,0,0,2014
Colorado - Bike MS 2013,20901,Corporate,,24,1679,19220,9412,9808,50,18000,19220,,0,0,2013
CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,25958,Corporate,,18,354.32,19190,19190,0,0,10000,19190,,0,0,2016
NYN 2012 Bike MS New York City,18354,Corporation,Chandler Chicco Company,26,1167.76,19181.99,17576.99,1605,125,20000,19181.99,,0,0,2013
"Virginia,  Richmond: Bike MS 2014",22247,Corporate,,30,860,19160.8,14500.75,4660.05,40,25000,19160.8,,0,0,2014
"California, Santa Monica - Bike MS: Coastal Challenge 2014",23843,Corporate,,36,842.76,19148.33,12666.53,6481.8,0,18000,19148.33,,0,0,2015
"TXH Texas, San Antonio - Bike MS 2015",26136,Corporate,Wells Fargo,48,840,19137.99,16365,2772.99,500,40000,144260.63,,0,0,2016
NYN 2016 Bike MS: NYC,27764,Corporate,CBS Corp,51,145.52,19104.24,18609.24,495,335,15000,59991.24,2016,10866,33,2017
MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride 2016,27053,Corporate,Big Shark,33,960,19082,15365,3717,0,20000,52736.85,2015,18170.3,26,2016
ILD Bike MS: Tour de Farms 2014,22978,Corporate,"FV & FMV Valuation, Inc.",15,379,19070.34,14202.34,4868,435,10000,19070.34,,0,0,2014
"Easton, Maryland - Bike MS 2014",22516,Corporate,Wells Fargo,36,160.84,19069.88,17879.45,1190.43,0,15000,19069.88,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Scan Systems,21,2160,19050.25,15880.25,3170,0,15500,35803.25,2015,16753,19,2016
MDM 2017 Bike MS: Chesapeake Challenge,28915,Corporate,Wells Fargo,31,803.57,19020,16930,2090,290,15000,64449,2016,23513,43,2017
COC 2017 Bike MS Colorado,28914,Corporate,FirstBank,24,0,19018.78,13923.78,5095,25,25000,60066.64,2016,20681.36,27,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,JP Morgan Chase,43,4420,19018.04,13253,5765.04,100,50000,19018.04,,0,0,2014
COC 2015 Bike MS: Colorado,25572,Corporate,Intrepid Potash Inc,27,1993.3,19017.8,14963.8,4054,10,20000,57085.8,,0,0,2015
Ohio - Bike MS: Pedal to the Point Ride 2013,20976,Corporate,ABB,16,295,18965,8670,10295,105,7500,18965,,0,0,2013
"TXH Texas, Dallas - Bike MS 2015",24768,Corporate,AT&T,24,950,18963.1,18285,678.1,0,10000,62717.26,,0,0,2015
COC 2015 Bike MS: Colorado,25572,Corporate,,3,168,18955,13205,5750,0,15000,36985,2014,14535.01,4,2015
"Missouri, Columbia  Bike MS: Express Scripts Gateway Getaway Ride 2013",20130,Corporation,Bunge NOrth America,16,440,18954,14872,4082,1100,15000,18954,,0,0,2013
Colorado - Bike MS 2014,22980,Corporate,Saunders Construction,40,2449,18935,4035,14900,0,5000,18935,,0,0,2014
COC 2015 Bike MS: Colorado,25572,Corporate,Liberty Oilfield Services,10,662,18907,17742,1165,200,20000,66737,,0,0,2015
WAS 2016 Bike MS: Deception Pass Classic,27170,Corporate,"Expedia, Inc",43,969,18880,15115,3765,790,25000,61736.25,2015,20397.25,34,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Dog house creative,22,2200,18875.87,16352.37,2523.5,0,15500,18875.87,,0,0,2013
FLS 2013 Bike MS: Breakaway to Key Largo,19654,Corporation,DHL,36,60,18865,16526,2339,0,55000,18865,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Applus Velosi,25,2520,18860.21,15595.21,3265,0,10000,18860.21,,0,0,2014
"CAL, Ventura - Bike MS: Coastal Challenge 2012",18177,Corporation,,34,355,18855,16555,2300,200,25000,18855,,0,0,2013
TNS 2013 Bike to Jack and Back,20496,Corporation,,25,685,18854.77,17644.77,1210,0,20000,18854.77,2013,26589.5,34,2014
NCT 2016 Bike MS: Tour to Tanglewood,27694,Corporate,Reynolds American Inc.,28,772.96,18851.07,5865,12986.07,250,10000,47267.25,2015,18785,27,2016
MIG 2015 Bike MS: Great Lakes West Michigan Breakaway,24776,Corporate,Atlas Oil,13,255,18850,15840,3010,200,10000,42910,,0,0,2015
NYN 2012 Bike MS New York City,18354,Corporation,KPMG,33,1715,18815,18105,710,125,30000,18815,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,House of Tandems,33,3330,18794.7,16544.7,2250,0,40000,18794.7,,0,0,2014
AZA FY2014 Bike MS,22596,Corporate,Intel,55,160,18774,14530,4244,400,25000,18774,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,United Parcel Service,30,3000,18764.89,15552,3212.89,0,30000,18764.89,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Team Atlantica,20,2000,18738,18738,0,0,15000,18738,,0,0,2014
TNS 2016 Bike MS: Jack and Back,27865,Corporate,Community Health Systems,19,459,18723,10363,8360,0,0,56263.92,2016,22145.92,25,2017
Massachusetts - Bike MS: Cape Cod Getaway 2013,19418,Corporation,Momenta Pharmaceuticals,23,1445,18721,9335,9386,3873,15000,18721,,0,0,2013
NCT 2014 Bike MS: Tour to Tanglewood,23796,Corporate,Smith Phillips Building Supply,36,1155,18718,10735,7983,0,10000,18718,,0,0,2014
CAS Bike MS 2013 - San Diego,21507,Corporate,SchoolsFirst FCU,29,1349.96,18705.42,12455.42,6250,260,35000,18705.42,,0,0,2014
VAR 2017 Bike MS: Colonial Crossroads,28847,Corporate,CBS-6,21,35,18703.61,13085.01,5618.6,0,15000,35082.01,2016,16078.4,15,2017
UTU 2016 Bike MS: Logan,27426,Corporate,Fidelity Investments,29,917,18680,2070,16610,0,25000,69731,2015,26610,46,2016
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Pepper Pedalers,22,1055,18653,11744,6909,100,0,52057,,0,0,2015
VAR 2015 Bike MS: Ride Virginia,25368,Corporate,Davenport,11,405,18569.45,16674.45,1895,410,15000,18569.45,,0,0,2015
Massachusetts - Bike MS: Cape Cod Getaway 2014,22298,Corporate,Momenta Pharmaceuticals,23,1170,18561.1,13742.1,4819,3385,18000,18561.1,,0,0,2014
MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride 2016,27053,Corporate,PARIC Corporation,23,590,18555,14415,4140,0,10000,46440,2015,17000,17,2016
TNS 2016 Bike MS: Jack and Back,27865,Corporate,,23,685,18547.9,17207.9,1340,0,20000,54814.9,2016,19741,26,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,SAIPEM AMERICA,16,1660,18547,13691,4856,0,20000,18547,2013,25607.93,31,2014
"Connecticut, Westport - Bike MS 2014",23495,Corporate,,44,1215,18528,13333,5195,45,0,18528,,0,0,2014
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,,49,1065.78,18512.51,10777.51,7735,100,20000,18512.51,,0,0,2013
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,,11,310,18512,15222,3290,170,17500,56080,,0,0,2015
CAL 2017 Bike MS: Pasadena,28217,Corporate,,18,110,18498.18,17433.18,1065,40,100001,126497.19,2016,107999.01,41,2017
TNS 2012 Bike Jack and Back,18277,Corporation,"Southwind, A Division of the Advisory Board Company",7,375,18490,15605,2885,0,20000,18490,,0,0,2013
OHA 2015 Bike MS: Buckeye Breakaway,25890,Corporate,ABB,18,305,18483,7585,10898,50,12000,29446.5,,0,0,2015
"Missouri, Columbia  Bike MS: Express Scripts Gateway Getaway Ride 2013",20130,Corporation,,26,150,18480,10933,7547,10,0,18480,,0,0,2013
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,Braun Intertec,34,858.5,18468.01,12198.01,6270,4,18000,18468.01,,0,0,2017
TXH 2016 Bike MS: Norman,27871,Corporate,Baker Hughes,30,571,18420,11350,7070,185,15000,63486,2015,21470,34,2016
UTU 2015 Bike MS: Harmon's Best Dam Bike Ride,24736,Corporate,,4,0,18410,13735,4675,0,15000,18410,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Stewart Title,19,530,18395,17710,685,0,20000,47524,2015,29129,39,2016
OHG 2017 Bike MS: Oxford,28922,Corporate,GE,26,472.89,18395,17615,780,8468,35000,79649.35,2016,30199.35,30,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Kelsey-Seybold Clinic,23,2350,18389,16714,1675,0,15000,18389,,0,0,2014
TNS 2015 Bike MS: Jack and Back,25575,Corporate,,25,180,18380,11355,7025,0,15000,65017,,0,0,2016
"Florida, Ponte Vedra - Bike MS: PGA TOUR Cycle to the Shore 2014",22906,Corporate,Walgreens,15,337.5,18354.02,0,18354.02,0,10000,18354.02,,0,0,2014
"TXH Louisiana, Hammond - Bike MS 2014",22835,Corporate,Freeport McMoRan Oil & Gas,21,180,18325.39,7046.73,11278.66,330,10000,18325.39,,0,0,2015
"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",20717,Corporate,,27,1205,18316,6545,11771,708,10000,18316,,0,0,2013
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,LoanLogics,23,335,18285,17175,1110,0,10000,28495,2016,10210,15,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Ernst & Young,25,2770,18261,17341,920,0,20000,18261,2013,21153,29,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,ARC Specialties,26,2600,18252,16502,1750,0,30000,18252,,0,0,2014
NCC 2013 Bike MS Tour to Tanglewood,21238,Corporate,Reynolds American,20,300,18250,3300,14950,25,20000,18250,,0,0,2013
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,"Radwell International, Inc.",27,165,18240,14965,3275,210,10000,18240,,0,0,2013
"CAL, Ventura - Bike MS: Coastal Challenge 2013",21167,Corporate,Southern California Valve,26,345,18235.94,12353.94,5882,0,10000,18235.94,,0,0,2014
WAS 2016 Bike MS: Deception Pass Classic,27170,Corporate,DaVita,14,937.5,18230,17075,1155,0,15000,38265.31,,0,0,2016
"PAX 2015 Bike MS: Escape to Lake presented by FedEx Ground, 30th Anniversary Ride",25779,Corporate,Thermo Fisher Scientific,29,635,18216,9790,8426,1330,20000,18216,2014,10962.41,16,2015
NCT 2016 Bike MS: Tour to Tanglewood,27694,Corporate,Smith Phillips Building Supply,23,447.24,18214,13666,4548,20,15000,55346,2015,17201,21,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,IHI E & C International Corp,18,1800,18176.23,16983,1193.23,0,15000,62770.17,2015,26556.5,13,2016
MOS 2017 Bike MS: Gateway Getaway Ride,28272,Corporate,Drury Hotels,29,785,18174,15330,2844,0,10000,35756.86,2016,11529.86,22,2017
MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,25028,Corporate,Big Shark,26,1095,18170.3,14940.3,3230,240,15000,52736.85,,0,0,2015
NYN 2014 Bike MS New York City,23928,Corporate,HSBC,33,1621.7,18170,16595,1575,200,25000,18170,,0,0,2015
Colorado - Bike MS 2013,20901,Corporate,Team Intrepid,24,1489,18124.81,14940.81,3184,150,25000,18124.81,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,NalcoChampion,19,1900,18115.78,14650,3465.78,0,0,18115.78,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,,21,795,18108,14759,3349,500,40000,18108,,0,0,2017
WAS 2013 Bike MS - Washington,21128,Corporate,Deloitte,43,160,18070,16187,1883,0,20000,18070,,0,0,2013
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,,62,1850,18069,15093,2976,0,20000,39583.5,,0,0,2015
ALC 2012 Bike MS Clinton,17966,Corporation,Entergy,8,47.31,18049.93,4425,13624.93,0,20000,18049.93,,0,0,2013
COC 2016 Bike MS: Colorado,27037,Corporate,Team In Motion / NMSS,19,1147.37,18044,9713,8331,0,20000,79094.48,2015,29511.25,26,2016
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,,28,1055,18036,11658,6378,615,20000,18036,,0,0,2013
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,Deloitte,25,1345,18032,17117,915,0,25000,77372.01,2016,38030.01,22,2017
COC 2016 Bike MS: Colorado,27037,Corporate,,2,79,18030,10130,7900,150,0,36985,2015,18955,3,2016
NCT 2016 Bike MS: Historic New Bern Ride,27695,Corporate,Martin Marietta,37,1321,18025.74,13510.74,4515,25,15000,55197.54,2015,17175.9,35,2016
FLN 2015 Bike MS: PGA TOUR Cycle to the Shore,25681,Corporate,Florida Blue,57,2553,18019.31,14829.31,3190,15,30000,38121.48,2014,26815.21,66,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Vinson & Elkins,29,2800,17950,15125,2825,0,8000,17950,,0,0,2013
TXH 2017 Bike MS: Little Rock,28742,Corporate,Dassault Falcon Jet,38,874,17947,14085,3862,160,11000,17947,2016,5454,44,2017
Massachusetts - Bike MS: Cape Cod Getaway 2014,22298,Corporate,Genzyme,32,1805,17931,13136,4795,145,50000,17931,2013,21469,26,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Navigators Management Company,16,1900,17915,16815,1100,0,10000,28051,2016,10136,11,2017
NCC 2013 Bike MS Tour to Tanglewood,21238,Corporate,,40,465,17891.51,12262.32,5629.19,260,15000,17891.51,,0,0,2013
TXH 2017 Bike MS: Cactus and Crude Ride,28790,Corporate,APACHE CORPORATION,8,87,17860,10805,7055,0,35000,78173.2,2016,26245,11,2017
"Louisiana, Hammond - Bike MS 2013",20274,Corporation,,24,680,17860,15985,1875,0,17500,17860,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Accenture,46,405,17847,15017,2830,100,30000,17847,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,,25,880,17795.48,13477.98,4317.5,29,20000,46209.14,,0,0,2015
"TXH Louisiana, Hammond - Bike MS 2014",22835,Corporate,,27,525,17793,9935,7858,20,27000,17793,,0,0,2015
"Florida, Orlando- Bike MS 2014",22186,Corporate,Express Scripts,13,500,17791,2541,15250,0,20000,17791,,0,0,2014
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,,16,260,17760.28,14905.28,2855,2050,20000,17825.28,,0,0,2017
MNM 2015 Bike MS: Sanford Health Fargo Ride,25531,Corporate,,8,70,17760,7060,10700,0,0,17760,,0,0,2015
CTN 2016 Bike MS: Windsor,27498,Corporate,"Griffin Industrial Realty, Inc.",42,1070,17739.1,13939.1,3800,0,15000,43469.1,2015,11750,7,2016
AZA FY2013 Bike MS,19752,Corporation,Intel,63,165,17738.83,14963.83,2775,0,25000,17738.83,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Production Technology and Services,41,3435,17731.75,13507,4224.75,100,12000,31818.75,2016,13467,18,2017
Colorado - Bike MS 2014,22980,Corporate,Energy IQ,12,827.1,17696.75,15845,1851.75,0,0,17696.75,2013,8365,9,2014
ILD Bike MS: Tour de Farms 2013,20718,Corporate,,36,427,17688,12813,4875,650,25000,17688,2012,15872.12,36,2013
CAS Bike MS 2012,18684,Corporation,Health Advocate,15,570,17622.81,15718,1904.81,0,15000,17622.81,,0,0,2013
PAX 2016 Bike MS: Escape to Lake presented by FedEx Ground,27690,Corporate,Thermo Fisher Scientific,22,315,17619.46,7514,10105.46,145.06,20000,34048.46,2015,18216,28,2016
PAX 2017 Bike MS: Escape to the Lake,28311,Corporate,,20,435,17607.14,12101.14,5506,175,30000,39158.21,2016,21451.07,22,2017
WAS 2013 Bike MS - Washington,21128,Corporate,Expedia,29,837.5,17605,12445,5160,0,15000,17605,,0,0,2013
"California, Santa Monica - Bike MS: Coastal Challenge 2014",23843,Corporate,SeriousCycling,11,715,17598,16998,600,0,10000,17598,,0,0,2015
Pennsylvania - bike MS: Western PA Escape 2013,20526,Corporation,,31,1095,17585.09,8905,8680.09,300,15000,17585.09,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,10,1000,17575,14800,2775,0,7000,17575,,0,0,2013
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,Air Products,13,231.52,17573,15441,2132,100,5000,17573,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Reynolds and Reynolds,36,3500,17562.25,3762.25,13800,0,30000,17562.25,,0,0,2013
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,"BioClinica, Inc.",29,1525,17559.01,17089.01,470,0,15000,17559.01,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,ION Geophysical,20,2090,17540,14480,3060,0,35000,34699.12,,0,0,2015
PAX 2015 Bike MS: Cook Forest River Ride,25896,Corporate,Seneca Resources Corporation,13,50,17527.29,11939.99,5587.3,0,7000,22377.29,,0,0,2015
WAS 2014 Bike MS - Alaska,23533,Corporate,Team Shell,14,910,17505,14790,2715,0,10000,17505,,0,0,2014
UTU 2015 Bike MS: Harmon's Best Dam Bike Ride,24736,Corporate,Overstock.com,43,1055,17480,13945,3535,215,15000,17480,,0,0,2015
OHA 2017 Bike MS: Buckeye Breakaway,28892,Corporate,Medical Mutual,21,547,17468.33,13489.33,3979,0,20000,58662.58,2016,16577,23,2017
OHA 2015 Bike MS: Buckeye Breakaway,25890,Corporate,New York Life,24,670,17466,10230,7236,0,20000,27680.2,,0,0,2015
COC 2016 Bike MS: Colorado,27037,Corporate,Samuel Engineering,40,393,17462.8,12737.8,4725,0,15000,46226.7,2015,14168.9,21,2016
NYN 2015 Bike MS: New York City,26036,Corporate,HSBC,27,1087.76,17448,15218,2230,315,25000,40239,,0,0,2016
"TXH Texas, Dallas - Bike MS 2015",24768,Corporate,KPMG Bike Team,31,250,17443.03,15371.03,2072,45,25000,75566.35,,0,0,2015
Colorado - Bike MS 2014,22980,Corporate,Liberty Oilfield Services,12,641.15,17442.51,17342.51,100,0,20000,17442.51,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,,19,1730,17441,12721,4720,0,7500,29787.26,2015,12346.26,14,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,HEB,32,700,17437,6627,10810,0,25000,33742,2015,12455,23,2016
OHA 2015 Bike MS: Buckeye Breakaway,25890,Corporate,Parker Hannifin,19,505,17420,14052,3368,65,25000,56130.75,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Global Geophysical,17,1760,17417.99,15742.99,1675,0,20000,17417.99,,0,0,2014
"OHG Ohio, Oregonia - Bike MS 2014",22619,Corporate,Procter & Gamble,35,792.67,17409.25,16059,1350.25,100,20000,17409.25,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,EDP Renewables,28,2800,17378.14,15214.15,2163.99,200,25000,17378.14,,0,0,2013
NYN 2014 Bike MS New York City,23928,Corporate,RadicalMedia,52,105,17377,16302,1075,0,15000,17377,,0,0,2015
COC 2015 Bike MS: Colorado,25572,Corporate,Newmont Mining Corporation,15,50,17367,12962,4405,0,80000,33727,,0,0,2015
"Louisiana, Hammond - Bike MS 2013",20274,Corporation,,30,700,17362,12370,4992,0,0,17362,,0,0,2014
"Texas, Amarillo - Bike MS 2014",23316,Corporate,Valero Energy Corp.,38,887,17354,12589,4765,60,15000,17354,,0,0,2014
UTU 2017 Bike MS: Logan,28813,Corporate,,31,1669,17350,10335,7015,0,10000,32919.23,2016,8494.23,15,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Kelsey-Seybold Clinic,23,1900,17326,16291,1035,0,25000,17326,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,SABIC,24,260,17309,12434,4875,0,0,47486,2014,16505,23,2015
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,19,1900,17306.13,13716.13,3590,0,2500,17306.13,,0,0,2013
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,WINCO,13,420.52,17278.35,13302,3976.35,350,15000,17278.35,,0,0,2013
"New Jersey, Morristown - Bike MS 2013",21296,Corporate,,24,1080,17278,13710,3568,200,15000,17278,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Halliburton,20,2090,17261.11,15776,1485.11,0,19000,135020.49,2016,25923.74,15,2017
CAN 2016 Bike MS: Waves to Wine Ride,27080,Corporate,Bank of the West,20,653.76,17231,12991,4240,10025,25000,57598,2015,14750,20,2016
FLS 2014 Bike MS: Breakaway to Key Largo,22411,Corporate,,37,900,17225.01,12035.01,5190,0,10000,17225.01,,0,0,2014
TXH 2017 Bike MS: BP MS 150,28263,Corporate,IHI E&C International Corp,14,1210,17217.44,16257.44,960,0,15000,62770.17,2016,18176.23,16,2017
"TXH Texas, Dallas - Bike MS 2015",24768,Corporate,Atmos Energy Corporation,18,585,17207.38,8822.38,8385,0,10000,63009.88,,0,0,2015
